"barcode1","article-no","clolor","size","week 1","week 2","week 3","week 4","week 5","week 6","week 7","week 8","week 9","week 10","week 11","week 12","week 13","week 14","week 15","week 16","week 17","week 18","week 19","week 20"
"1000789530322","CK2-10680014","Fuchsia","Extra Small","117.0","110.0","116.0","125.0","61.0","42.0","16.0","7.0","6.0","1.0","0","0","0","0","0","0","0","0","0","0"
"1000789721324","CK2-10680015","Teal","Extra Small","178.0","175.0","118.0","64.0","8.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000789717327","CK2-10680015","Orange","Extra Small","119.0","167.0","153.0","102.0","32.0","6.0","1.0","1.0","2.0","2.0","-2.0","0","0","0","-1.0","0","0","0","0","0"
"1000789709322","CK2-10680015","Cream","Extra Small","148.0","129.0","86.0","38.0","30.0","13.0","1.0","0","0","0","0","-1.0","0","0","0","0","0","0","0","0"
"1000792101212","CK2-20740760","Black","Medium","44.0","47.0","56.0","31.0","36.0","44.0","42.0","45.0","28.0","10.0","4.0","8.0","1.0","0","0","0","0","0","0","0"
"1000792100215","CK2-20740760","Tan","Medium","26.0","24.0","25.0","25.0","35.0","44.0","30.0","42.0","47.0","30.0","39.0","45.0","41.0","21.0","25.0","20.0","17.0","4.0","0","0"
"1000792109218","CK2-20740760","Cream","Medium","35.0","41.0","30.0","41.0","35.0","61.0","38.0","21.0","25.0","13.0","3.0","2.0","1.0","1.0","1.0","0","0","0","0","0"
"1000792301223","CK2-20740789","Black","Large","47.0","30.0","37.0","34.0","31.0","34.0","33.0","23.0","22.0","18.0","16.0","13.0","2.0","0","2.0","5.0","2.0","0","0","0"
"1000792318221","CK2-20740789","Khaki","Large","8.0","10.0","9.0","10.0","8.0","10.0","19.0","23.0","11.0","7.0","9.0","15.0","12.0","0","2.0","5.0","5.0","4.0","2.0","3.0"
"1000792335228","CK2-20740789","Nude","Large","78.0","55.0","54.0","46.0","62.0","43.0","26.0","10.0","10.0","8.0","0","0","0","0","0","0","0","0","0","0"
"1000796901214","CK2-50740792","Black","Medium","18.0","21.0","31.0","20.0","17.0","26.0","18.0","16.0","19.0","22.0","20.0","9.0","16.0","4.0","8.0","3.0","7.0","5.0","7.0","3.0"
"1000796905212","CK2-50740792","Beige","Medium","45.0","49.0","66.0","47.0","53.0","37.0","23.0","14.0","8.0","2.0","2.0","3.0","-1.0","0","0","1.0","0","0","0","0"
"1000796918212","CK2-50740792","Khaki","Medium","23.0","33.0","27.0","24.0","23.0","6.0","7.0","2.0","2.0","1.0","0","0","1.0","0","0","1.0","0","0","0","0"
"1000797137223","CK2-50740793","Olive","Large","18.0","11.0","11.0","18.0","25.0","20.0","14.0","24.0","16.0","20.0","14.0","10.0","8.0","6.0","5.0","0","8.0","4.0","8.0","1.0"
"1000797110226","CK2-50740793","Navy","Large","68.0","55.0","45.0","40.0","68.0","52.0","30.0","7.0","2.0","0","0","0","0","0","0","-1.0","1.0","0","0","0"
"1000797301211","CK2-50740798","Black","Medium","50.0","58.0","45.0","35.0","59.0","49.0","30.0","32.0","15.0","13.0","3.0","6.0","3.0","0","0","0","0","1.0","0","0"
"1000797314211","CK2-50740798","Taupe","Medium","14.0","16.0","22.0","4.0","12.0","5.0","10.0","12.0","15.0","13.0","7.0","9.0","5.0","1.0","4.0","8.0","5.0","3.0","4.0","6.0"
"1000797335216","CK2-50740798","Nude","Medium","89.0","61.0","77.0","77.0","77.0","54.0","34.0","17.0","11.0","1.0","0","0","0","1.0","0","0","0","0","0","0"
"1000798101216","CK2-60740800","Black","Medium","39.0","24.0","49.0","39.0","46.0","39.0","35.0","41.0","39.0","17.0","10.0","6.0","3.0","6.0","0","5.0","1.0","0","0","0"
"1000798102213","CK2-60740800","Brown","Medium","22.0","28.0","47.0","44.0","35.0","55.0","55.0","32.0","34.0","36.0","48.0","31.0","32.0","30.0","25.0","9.0","7.0","5.0","2.0","2.0"
"1000798103210","CK2-60740800","White","Medium","14.0","24.0","26.0","24.0","28.0","31.0","25.0","24.0","22.0","19.0","18.0","23.0","16.0","32.0","18.0","12.0","16.0","15.0","14.0","10.0"
"1000792501210","CK2-20740801","Black","Medium","132.0","147.0","145.0","150.0","109.0","34.0","0.0","0.0","2.0","0","0","0","-1.0","-1.0","0","0","-1.0","0","0","0"
"1000792509216","CK2-20740801","Cream","Medium","111.0","133.0","152.0","153.0","107.0","107.0","25.0","2.0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000792506215","CK2-20740801","Blue","Medium","160.0","90.0","19.0","1.0","1.0","-1.0","0","0","0","0","5.0","13.0","0","9.0","20.0","3.0","9.0","3.0","4.0","4.0"
"1000800310223","CK2-90740808","Navy","Large","63.0","46.0","36.0","43.0","69.0","56.0","48.0","51.0","37.0","35.0","26.0","29.0","32.0","28.0","31.0","22.0","63.0","36.0","13.0","0"
"1000800314221","CK2-90740808","Taupe","Large","8.0","12.0","13.0","9.0","10.0","20.0","10.0","7.0","13.0","10.0","10.0","9.0","8.0","3.0","9.0","8.0","18.0","47.0","59.0","42.0"
"1000800309227","CK2-90740808","Cream","Large","34.0","54.0","42.0","45.0","54.0","52.0","33.0","42.0","31.0","27.0","20.0","20.0","28.0","24.0","20.0","19.0","45.0","41.0","29.0","2.0"
"1000797501215","CK2-50740816","Black","Medium","51.0","42.0","55.0","39.0","27.0","11.0","4.0","8.0","7.0","2.0","1.0","0","0","0","0","0","0","0","0","0"
"1000797517216","CK2-50740816","Orange","Medium","43.0","39.0","47.0","38.0","15.0","5.0","9.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000797512211","CK2-50740816","Green","Medium","28.0","33.0","25.0","23.0","13.0","9.0","8.0","3.0","5.0","1.0","0","0","0","0","0","0","0","0","0","0"
"1000797701219","CK2-50740817","Black","Medium","51.0","33.0","28.0","49.0","43.0","34.0","35.0","29.0","20.0","23.0","16.0","10.0","8.0","6.0","1.0","1.0","0","0","1.0","4.0"
"1000797735214","CK2-50740817","Nude","Medium","85.0","83.0","73.0","101.0","72.0","46.0","26.0","6.0","2.0","1.0","0","-1.0","1.0","0","0","0","0","0","0","0"
"1000797722214","CK2-50740817","Camel","Medium","85.0","69.0","62.0","85.0","71.0","73.0","66.0","55.0","16.0","14.0","2.0","2.0","0","0","0","0","0","0","0","0"
"1000799913207","CK2-80740819","Pink","Small","119.0","95.0","107.0","48.0","16.0","3.0","0","-1.0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"1000799935209","CK2-80740819","Nude","Small","54.0","47.0","54.0","63.0","60.0","84.0","64.0","49.0","24.0","15.0","2.0","-1.0","4.0","6.0","2.0","2.0","0","0","-1.0","2.0"
"1000799902201","CK2-80740819","Brown","Small","73.0","63.0","77.0","87.0","68.0","36.0","19.0","2.0","4.0","0.0","0","0","0","0","0","0","0","-1.0","0","0"
"1000797901213","CK2-50740820","Black","Medium","20.0","23.0","19.0","12.0","13.0","11.0","15.0","16.0","14.0","14.0","14.0","6.0","5.0","15.0","27.0","33.0","20.0","2.0","0","0"
"1000797909219","CK2-50740820","Cream","Medium","40.0","38.0","31.0","30.0","26.0","34.0","40.0","16.0","29.0","24.0","22.0","14.0","11.0","9.0","21.0","2.0","2.0","0","0","0"
"1000797918211","CK2-50740820","Khaki","Medium","41.0","23.0","37.0","28.0","26.0","37.0","19.0","29.0","17.0","15.0","11.0","12.0","9.0","17.0","48.0","62.0","45.0","3.0","2.0","2.0"
"1000800502215","CK2-90740821","Brown","Medium","46.0","55.0","39.0","53.0","42.0","50.0","51.0","20.0","16.0","11.0","1.0","4.0","0","2.0","0","0","0","1.0","1.0","0"
"1000800505216","CK2-90740821","Beige","Medium","28.0","36.0","31.0","37.0","36.0","29.0","26.0","14.0","19.0","15.0","3.0","1.0","3.0","5.0","1.0","2.0","1.0","2.0","0","1.0"
"1000800503212","CK2-90740821","White","Medium","54.0","61.0","49.0","16.0","11.0","5.0","4.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
